track_name,artist_name,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,genres,loudness_scaled
Blinding Lights,The Weeknd,0.514,0.73,Key_1,major,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,2020,"Pop,Jazz",0.7874875868917577
Dance Monkey,Tones And I,0.824,0.587,Key_6,minor,0.0937,0.69,0.000105,0.149,0.514,98.029,4,2021,Pop,0.7565706719629263
The Box,Roddy Ricch,0.896,0.586,Key_10,minor,0.0559,0.104,0.0,0.79,0.642,116.971,4,2019,Rap,0.7376365441906654
Roses - Imanbek Remix,"SAINt JHN, Imanbek",0.785,0.721,Key_8,major,0.0506,0.0149,0.00432,0.285,0.894,121.962,4,2019,"Pop,Rap",0.8190665342601788
Dont Start Now,Dua Lipa,0.793,0.793,Key_11,minor,0.083,0.0123,0.0,0.0951,0.679,123.95,4,2020,Pop,0.8810327706057597
ROCKSTAR feat Roddy Ricch,"DaBaby, Roddy Ricch",0.746,0.69,Key_11,major,0.164,0.247,0.0,0.101,0.497,89.977,4,2020,"Pop,Rap,Hip Hop",0.6536246276067528
Watermelon Sugar,Harry Styles,0.548,0.816,Key_0,major,0.0465,0.122,0.0,0.335,0.557,95.39,4,2019,Pop,0.9016881827209532
death bed coffee for your head,"Powfu, beabadoobee",0.726,0.431,Key_8,minor,0.135,0.731,0.0,0.696,0.348,144.026,4,2020,"Pop,Rock,Rap",0.600066203243959
Falling,Trevor Daniel,0.785,0.431,Key_10,minor,0.0364,0.123,0.0,0.0887,0.236,127.085,4,2020,Rap,0.6006620324395896
Someone You Loved,Lewis Capaldi,0.501,0.405,Key_1,major,0.0319,0.751,0.0,0.105,0.446,109.891,4,2019,Pop,0.8043694141012909
Tusa,"KAROL G, Nicki Minaj",0.803,0.715,Key_2,major,0.298,0.295,0.000134,0.0574,0.574,101.085,4,2019,"Pop,Latino,Rap,Hip Hop",0.9631909963588215
ROXANNE,Arizona Zervas,0.621,0.601,Key_6,minor,0.148,0.0522,0.0,0.46,0.457,116.735,5,2019,"Pop,Rock,Rap",0.8085402184707051
Circles,Post Malone,0.695,0.762,Key_0,major,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,2019,"Pop,Rap",0.9488248924197286
Blueberry Faygo,Lil Mosey,0.774,0.554,Key_0,major,0.0383,0.207,0.0,0.132,0.349,99.034,4,2020,Rap,0.6567361800728236
Intentions feat Quavo,"Justin Bieber, Quavo",0.806,0.546,Key_9,major,0.0575,0.3,0.0,0.102,0.874,147.986,4,2020,"Pop,Rap,Hip Hop",0.740946706388613
Toosie Slide,Drake,0.83,0.49,Key_1,minor,0.209,0.289,3.04e-06,0.113,0.845,81.604,4,2020,"Pop,Rap,Hip Hop",0.5964250248262165
Before You Go,Lewis Capaldi,0.459,0.575,Key_3,major,0.0573,0.604,0.0,0.0885,0.183,111.881,4,2019,Pop,0.8587222773915922
Say So,Doja Cat,0.787,0.673,Key_11,minor,0.159,0.264,3.35e-06,0.0904,0.779,110.962,4,2019,Pop,0.8769281694803046
Memories,Maroon 5,0.775,0.327,Key_11,major,0.0557,0.841,0.0,0.0821,0.595,91.05,4,2021,Pop,0.7009599470374048
Life Is Good feat Drake,"Future, Drake",0.795,0.574,Key_2,minor,0.487,0.067,0.0,0.15,0.537,142.053,4,2020,"Pop,Rap,Hip Hop",0.7233366434955313
